model_label,dataset,signal,description,n,spearman_rho,spearman_p,point_biserial_r,point_biserial_p
DeepSeek R1 7B,Synthetic,is_valid,Graph validity flag (binary),142,0.11375590525840065,0.17767233568261956,0.11375590525840065,0.17767233568261917
DeepSeek R1 7B,Synthetic,trace_grounded,Reasoning trace groundedness (binary),142,0.21757577030256012,0.009294276622375348,0.21757577030256015,0.009294276622375383
DeepSeek R1 7B,Synthetic,violation_count,Total structural violation count,142,-0.053285653165344844,0.5288207339489859,,
DeepSeek R1 7B,Synthetic,first_violation_step,Step index of first violation (NaN when none),16,0.2675161406274082,0.31650026640337414,,
DeepSeek R1 7B,Synthetic,ltl_genuine_violation_count,Count of genuine LTL violations (unsupported_commitment + trace_inversion),142,0.042616759343333616,0.6145582576199138,,
DeepSeek R1 7B,Synthetic,ltl_corroboration_count,Count of invariant-corroborating LTL violations (contradiction + inconsistency + hallucination),142,-0.10873298701150035,0.1977204172277088,,
Gemma 3 12B,Synthetic,is_valid,Graph validity flag (binary),190,-0.08891301427220075,0.2224984561459546,-0.08891301427220073,0.2224984561459539
Gemma 3 12B,Synthetic,trace_grounded,Reasoning trace groundedness (binary),190,nan,nan,nan,nan
Gemma 3 12B,Synthetic,violation_count,Total structural violation count,190,nan,nan,,
Gemma 3 12B,Synthetic,first_violation_step,Step index of first violation (NaN when none),2,nan,nan,,
Gemma 3 12B,Synthetic,ltl_genuine_violation_count,Count of genuine LTL violations (unsupported_commitment + trace_inversion),190,0.08891301427220075,0.2224984561459546,,
Gemma 3 12B,Synthetic,ltl_corroboration_count,Count of invariant-corroborating LTL violations (contradiction + inconsistency + hallucination),190,nan,nan,,
Llama 3.1 8B,Synthetic,is_valid,Graph validity flag (binary),190,-0.05011148285857956,0.4923269398111969,-0.050111482858579595,0.49232693981119846
Llama 3.1 8B,Synthetic,trace_grounded,Reasoning trace groundedness (binary),190,0.41298426906300734,3.190411119164252e-09,0.41298426906300767,3.1904111191641745e-09
Llama 3.1 8B,Synthetic,violation_count,Total structural violation count,190,0.12227977131843622,0.09282105870257142,,
Llama 3.1 8B,Synthetic,first_violation_step,Step index of first violation (NaN when none),65,-0.7496881756060128,6.699242014554967e-13,,
Llama 3.1 8B,Synthetic,ltl_genuine_violation_count,Count of genuine LTL violations (unsupported_commitment + trace_inversion),190,-0.016501954468265627,0.8212184443704147,,
Llama 3.1 8B,Synthetic,ltl_corroboration_count,Count of invariant-corroborating LTL violations (contradiction + inconsistency + hallucination),190,0.26892643710023856,0.0001755786893371737,,
Mistral 7B,Synthetic,is_valid,Graph validity flag (binary),186,-0.22917046351263917,0.0016530498825651548,-0.22917046351263914,0.0016530498825651425
Mistral 7B,Synthetic,trace_grounded,Reasoning trace groundedness (binary),186,-0.048227957996178523,0.5133127418385529,-0.048227957996178544,0.5133127418385525
Mistral 7B,Synthetic,violation_count,Total structural violation count,186,0.23348168364264946,0.0013401266137950463,,
Mistral 7B,Synthetic,first_violation_step,Step index of first violation (NaN when none),86,-0.27804488490408963,0.009539806835394554,,
Mistral 7B,Synthetic,ltl_genuine_violation_count,Count of genuine LTL violations (unsupported_commitment + trace_inversion),186,0.22493648724886298,0.002023928061710193,,
Mistral 7B,Synthetic,ltl_corroboration_count,Count of invariant-corroborating LTL violations (contradiction + inconsistency + hallucination),186,0.2555973602160189,0.000429835371213701,,
Qwen 3.5 9B,Synthetic,is_valid,Graph validity flag (binary),179,0.04738240731675399,0.5287952761406454,0.04738240731675401,0.5287952761406461
Qwen 3.5 9B,Synthetic,trace_grounded,Reasoning trace groundedness (binary),179,0.47327416927861005,2.2259974949763e-11,0.4732741692786102,2.2259974949762582e-11
Qwen 3.5 9B,Synthetic,violation_count,Total structural violation count,179,0.02604594179028704,0.7292763049939286,,
Qwen 3.5 9B,Synthetic,first_violation_step,Step index of first violation (NaN when none),43,-0.20173943552300655,0.19452865404849268,,
Qwen 3.5 9B,Synthetic,ltl_genuine_violation_count,Count of genuine LTL violations (unsupported_commitment + trace_inversion),179,-0.04277471054715245,0.5696699698561626,,
Qwen 3.5 9B,Synthetic,ltl_corroboration_count,Count of invariant-corroborating LTL violations (contradiction + inconsistency + hallucination),179,-0.01961731510060886,0.7943638742553624,,
DeepSeek R1 7B,TempEval-3,is_valid,Graph validity flag (binary),398,0.15782145475536452,0.0015861513409137274,0.15782145475536452,0.0015861513409137196
DeepSeek R1 7B,TempEval-3,trace_grounded,Reasoning trace groundedness (binary),398,0.1613588695165887,0.0012371812181225655,0.1613588695165887,0.0012371812181225829
DeepSeek R1 7B,TempEval-3,violation_count,Total structural violation count,398,-0.17229938500809008,0.0005556142953191794,,
DeepSeek R1 7B,TempEval-3,first_violation_step,Step index of first violation (NaN when none),56,0.48654787829833773,0.00014345217453261278,,
