model_label,dataset,signal,description,n,spearman_rho,spearman_p,point_biserial_r,point_biserial_p
DeepSeek R1 7B,synthetic,is_valid,Graph validity flag (binary),91,0.14953661355497677,0.15714561498381535,0.14953661355497672,0.1571456149838159
DeepSeek R1 7B,synthetic,trace_grounded,Reasoning trace groundedness (binary),91,0.4444444444444444,1.0177546946625807e-05,0.44444444444444436,1.017754694662578e-05
DeepSeek R1 7B,synthetic,violation_count,Total structural violation count,91,-0.38618244924939066,0.0001563276195781112,,
DeepSeek R1 7B,synthetic,first_violation_step,Step index of first violation (NaN when none),8,0.2182178902359924,0.6036450565101361,,
Qwen 3.5 9B,synthetic,is_valid,Graph validity flag (binary),114,0.26295029405356657,0.004705697462199813,0.2629502940535666,0.004705697462199827
Qwen 3.5 9B,synthetic,trace_grounded,Reasoning trace groundedness (binary),114,0.5270462766947299,1.7008904231587686e-09,0.5270462766947299,1.700890423158751e-09
Qwen 3.5 9B,synthetic,violation_count,Total structural violation count,114,-0.23226657634705206,0.012893234135740275,,
Qwen 3.5 9B,synthetic,first_violation_step,Step index of first violation (NaN when none),14,0.0,1.0,,
Llama 3.1 8B,synthetic,is_valid,Graph validity flag (binary),120,-0.24484679095111694,0.007033754334951875,-0.24484679095111692,0.007033754334951853
Llama 3.1 8B,synthetic,trace_grounded,Reasoning trace groundedness (binary),120,0.40639176292436924,4.1133722861672085e-06,0.4063917629243694,4.113372286167129e-06
Llama 3.1 8B,synthetic,violation_count,Total structural violation count,120,0.047269055961219435,0.6081797709789494,,
Llama 3.1 8B,synthetic,first_violation_step,Step index of first violation (NaN when none),25,-0.1931609687386522,0.35490701421144,,
Mistral 7B,synthetic,is_valid,Graph validity flag (binary),117,-0.22232432294997193,0.01598669528681347,-0.22232432294997187,0.015986695286813464
Mistral 7B,synthetic,trace_grounded,Reasoning trace groundedness (binary),117,-0.12536953389027516,0.17803190777316483,-0.12536953389027516,0.1780319077731657
Mistral 7B,synthetic,violation_count,Total structural violation count,117,0.2576374907988791,0.005041659670864475,,
Mistral 7B,synthetic,first_violation_step,Step index of first violation (NaN when none),43,0.0,1.0,,
Gemma 3 12B,synthetic,is_valid,Graph validity flag (binary),120,nan,nan,nan,nan
Gemma 3 12B,synthetic,trace_grounded,Reasoning trace groundedness (binary),120,nan,nan,nan,nan
Gemma 3 12B,synthetic,violation_count,Total structural violation count,120,nan,nan,,
Gemma 3 12B,synthetic,first_violation_step,Step index of first violation (NaN when none),0,nan,nan,,
DeepSeek R1 7B,tempeval,is_valid,Graph validity flag (binary),433,0.17607800428271222,0.00023126382407574826,0.17607800428271225,0.00023126382407574842
DeepSeek R1 7B,tempeval,trace_grounded,Reasoning trace groundedness (binary),433,0.14039560549927002,0.003416870105998529,0.14039560549927005,0.003416870105998505
DeepSeek R1 7B,tempeval,violation_count,Total structural violation count,433,-0.14730515854349377,0.0021181760193108396,,
DeepSeek R1 7B,tempeval,first_violation_step,Step index of first violation (NaN when none),44,0.49507377148833714,0.0006342788717403309,,
Qwen 3.5 9B,tempeval,is_valid,Graph validity flag (binary),394,nan,nan,nan,nan
Qwen 3.5 9B,tempeval,trace_grounded,Reasoning trace groundedness (binary),394,nan,nan,nan,nan
Qwen 3.5 9B,tempeval,violation_count,Total structural violation count,394,nan,nan,,
Qwen 3.5 9B,tempeval,first_violation_step,Step index of first violation (NaN when none),0,nan,nan,,
Llama 3.1 8B,tempeval,is_valid,Graph validity flag (binary),496,0.05964726623762394,0.18476119111240336,0.05964726623762391,0.18476119111240313
Llama 3.1 8B,tempeval,trace_grounded,Reasoning trace groundedness (binary),496,0.05964726623762394,0.18476119111240336,0.05964726623762391,0.18476119111240313
Llama 3.1 8B,tempeval,violation_count,Total structural violation count,496,-0.05964726623762394,0.18476119111240336,,
Llama 3.1 8B,tempeval,first_violation_step,Step index of first violation (NaN when none),3,nan,nan,,
Mistral 7B,tempeval,is_valid,Graph validity flag (binary),495,0.14338572781862824,0.0013809246570758308,0.14338572781862827,0.0013809246570758568
Mistral 7B,tempeval,trace_grounded,Reasoning trace groundedness (binary),495,0.12985342749262244,0.0038035052095811875,0.12985342749262246,0.0038035052095811645
Mistral 7B,tempeval,violation_count,Total structural violation count,495,-0.15240219833771462,0.0006688100317837659,,
Mistral 7B,tempeval,first_violation_step,Step index of first violation (NaN when none),23,0.29193710406057116,0.1764817044259782,,
Gemma 3 12B,tempeval,is_valid,Graph validity flag (binary),496,nan,nan,nan,nan
Gemma 3 12B,tempeval,trace_grounded,Reasoning trace groundedness (binary),496,nan,nan,nan,nan
Gemma 3 12B,tempeval,violation_count,Total structural violation count,496,nan,nan,,
Gemma 3 12B,tempeval,first_violation_step,Step index of first violation (NaN when none),0,nan,nan,,
